Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,97.8,34,0
Day 01 - Part 2 - Learn Home Row,98.4,43,0
Day 02 - Part 4,94.9,23,0
Day 02 - Part 5,100.0,43,0
Day 03 - Part 1,94.5,26,0
Day 03 - Part 2 - Learn R,97.4,29,0
Day 03 - Part 3 - Learn O,97.3,30,0
Day 03 - Part 4,95.4,26,0
Day 03 - Part 5,96.1,27,0
Day 03 - Part 1,98.0,36,0
Day 02 - Part 4,97.5,37,0
Day 03 - Part 4,98.7,33,0
Day 03 - Part 5,98.9,32,4
Day 03 - Part 3 - Learn O,99.3,40,0
Day 03 - Part 2 - Learn R,98.0,39,0
Day 02 - Part 4,98.1,40,0
Day 01 - Part 1 - Learn Spacebar,100.0,44,0
Day 03 - Part 1,97.5,39,0
Day 01 - Part 1 - Learn Spacebar,79.4,-10,3
