Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 6,96.1,30,0
Day 04 - Part 7,100.0,46,0
Day 05 - Part 1,98.0,42,0
Day 05 - Part 2 - Learn T,98.0,36,0
Day 05 - Part 3 - Learn I,94.8,25,0
Day 05 - Part 4,95.4,25,0
Day 05 - Part 5,98.7,36,0
Day 05 - Part 6,98.7,36,0
Day 05 - Part 7,90.1,13,0
Day 05 - Part 7,96.7,35,0
Day 05 - Part 3 - Learn I,97.4,37,0
Day 05 - Part 4,95.4,27,0
Day 05 - Part 4,94.7,26,0
Day 05 - Part 4,98.0,38,0
Day 04 - Part 6,98.0,45,0
Day 05 - Part 7,97.4,38,0
Day 05 - Part 3 - Learn I,98.0,40,0
Day 05 - Part 7,96.7,38,0
Day 05 - Part 7,98.7,43,0
Day 05 - Part 2 - Learn T,24.7,-372,0
Day 04 - Part 6,97.5,43,0
Day 05 - Part 6,28.8,-316,0
Day 05 - Part 7,68.4,-56,0
Day 04 - Part 7,100.0,42,0
Day 04 - Part 6,96.6,40,0
Day 05 - Part 2 - Learn T,84.7,3,0
Day 05 - Part 7,44.1,-186,0
Day 05 - Part 2 - Learn T,97.3,37,0
