Lesson,Accuracy,WPM,Idle Time

Day 05 - Part 4,92.8,21,0
Day 05 - Part 5,96.7,36,0
Day 05 - Part 6,100.0,41,0
Day 06 - Part 1,93.5,23,0
Day 06 - Part 2 - Learn Left Shift,90.7,11,0
Day 06 - Part 3 - Learn Period,92.8,15,0
Day 06 - Part 4,84.8,2,0
Day 06 - Part 5,94.3,23,0
Day 06 - Part 4,95.3,24,0
Day 06 - Part 2 - Learn Left Shift,96.0,25,8
Day 06 - Part 3 - Learn Period,94.1,24,0
Day 05 - Part 4,90.1,19,0
Day 05 - Part 4,95.4,31,1
Day 06 - Part 1,94.1,26,0
Day 06 - Part 3 - Learn Period,96.1,25,0
Day 06 - Part 1,98.7,33,0
Day 06 - Part 5,88.3,11,0
Day 06 - Part 5,9.2,-1051,2
Day 05 - Part 4,91.4,21,0
