Lesson,Accuracy,WPM,Idle Time

Day 07 - Part 1,95.4,26,0
Day 07 - Part 2 - Learn C,94.1,24,0
Day 07 - Part 3 - Learn U,93.5,20,0
Day 07 - Part 4,95.4,23,0
Day 07 - Part 5,89.5,9,0
Day 07 - Part 6,95.5,21,0
Day 07 - Part 7,99.3,40,0
Day 07 - Part 8,96.1,24,0
Day 07 - Part 5,96.7,24,0
Day 07 - Part 3 - Learn U,97.4,32,0
Day 07 - Part 2 - Learn C,95.4,22,0
Day 07 - Part 2 - Learn C,95.4,24,0
Day 07 - Part 4,97.4,27,0
Day 07 - Part 2 - Learn C,97.4,27,0
Day 07 - Part 1,98.0,31,0
Day 07 - Part 6,96.8,25,0
Day 07 - Part 8,97.4,24,0
Day 07 - Part 5,95.4,23,0
Day 07 - Part 5,97.4,26,0
Day 07 - Part 6,23.0,-420,0
Day 07 - Part 8,96.7,27,0
Day 07 - Part 6,9.4,-942,1
Day 07 - Part 8,96.1,25,0
Day 07 - Part 6,95.7,24,0
Day 07 - Part 8,35.3,-252,0
Day 07 - Part 1,96.7,28,0
Day 07 - Part 6,97.3,27,0
