Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,98.0,36,0
Day 09 - Part 6,100.0,39,0
Day 10 - Part 1,99.4,34,0
Day 10 - Part 2 - Learn G,98.7,34,0
Day 10 - Part 3 - Learn Right Shift,87.7,5,0
Day 10 - Part 4,88.4,7,0
Day 10 - Part 5,95.7,25,0
Day 10 - Part 3 - Learn Right Shift,94.8,19,0
Day 10 - Part 4,97.4,24,1
Day 10 - Part 3 - Learn Right Shift,87.1,6,0
Day 10 - Part 3 - Learn Right Shift,95.5,15,1
Day 10 - Part 3 - Learn Right Shift,77.4,-9,0
Day 10 - Part 3 - Learn Right Shift,5.2,-623,0
Day 10 - Part 3 - Learn Right Shift,97.4,23,0
Day 10 - Part 5,96.7,29,0
Day 10 - Part 5,97.9,31,0
Day 09 - Part 6,100.0,44,0
Day 09 - Part 1,74.5,-28,0
Day 09 - Part 1,98.0,37,0
Day 09 - Part 6,100.0,44,0
Day 09 - Part 6,100.0,43,0
Day 09 - Part 1,98.0,40,0
Day 10 - Part 2 - Learn G,54.2,-114,0
Day 09 - Part 6,100.0,49,0
Day 09 - Part 1,72.5,-38,0
Day 09 - Part 6,100.0,44,0
Day 09 - Part 6,100.0,44,0
Day 09 - Part 1,58.2,-110,0
Day 09 - Part 1,6.5,-940,0
