Lesson,Accuracy,WPM,Idle Time

Day 11 - Part 4,97.4,26,0
Day 12 - Part 1,97.4,28,0
Day 12 - Part 2,96.8,33,0
Day 12 - Part 3,97.4,35,0
Day 12 - Part 4,98.7,29,0
Day 12 - Part 5,98.7,33,0
Day 12 - Part 6,98.0,42,0
Day 12 - Part 7,98.4,36,0
Day 12 - Part 2,97.4,37,0
Day 11 - Part 4,32.3,-300,0
Day 11 - Part 4,71.6,-31,0
Day 11 - Part 4,98.7,36,0
Day 12 - Part 1,96.1,28,0
Day 12 - Part 1,91.6,21,0
Day 12 - Part 1,39.4,-306,0
Day 12 - Part 1,49.7,-139,0
Day 12 - Part 1,29.0,-336,0
Day 11 - Part 4,7.1,-1418,0
Day 12 - Part 1,62.6,-72,0
Day 12 - Part 1,61.3,-76,0
Day 12 - Part 1,44.5,-206,0
Day 12 - Part 1,29.0,-606,0
Day 12 - Part 1,78.7,-12,0
Day 12 - Part 6,83.0,-1,0
Day 12 - Part 1,51.6,-126,0
Day 12 - Part 1,54.8,-132,0
