Lesson,Accuracy,WPM,Idle Time

Day 13 - Part 4,96.8,25,0
Day 13 - Part 6,97.3,32,0
Day 14 - Part 1,98.7,39,0
Day 14 - Part 2,93.9,23,0
Day 14 - Part 3 - Learn Z,96.1,27,0
Day 14 - Part 4 - Learn Y,94.8,24,0
Day 14 - Part 5,94.8,20,0
Day 14 - Part 6,94.4,22,0
Day 14 - Part 2,97.1,35,0
Day 14 - Part 6,19.0,-1135,0
Day 14 - Part 6,22.9,-896,0
Day 14 - Part 6,10.7,-1924,0
Day 14 - Part 6,44.1,-165,0
Day 14 - Part 6,11.5,-1480,0
Day 14 - Part 6,25.2,-718,0
Day 14 - Part 6,18.3,-1608,0
Day 14 - Part 6,96.9,28,0
Day 14 - Part 5,94.8,21,0
Day 14 - Part 5,96.1,25,0
Day 14 - Part 4 - Learn Y,15.7,-1242,0
Day 14 - Part 4 - Learn Y,96.1,25,0
Day 14 - Part 4 - Learn Y,96.7,32,0
Day 14 - Part 5,94.8,24,0
Day 14 - Part 5,94.1,22,0
Day 14 - Part 4 - Learn Y,97.4,27,3
Day 13 - Part 4,98.7,39,0
Day 14 - Part 4 - Learn Y,26.1,-450,0
Day 14 - Part 5,21.6,-1360,0
Day 14 - Part 5,15.7,-1064,0
Day 14 - Part 4 - Learn Y,18.3,-1023,0
Day 14 - Part 5,16.3,-1845,0
Day 14 - Part 5,16.3,-1845,0
Day 14 - Part 5,17.0,-1461,0
Day 14 - Part 5,16.3,-1845,0
