Lesson,Accuracy,WPM,Idle Time

Day 16 - Part 4,98.4,36,0
Day 16 - Part 5,96.6,30,0
Day 17 - Part 1,94.9,30,0
Day 17 - Part 2 - Learn V,97.4,35,0
Day 17 - Part 3 - Learn Colon,89.6,9,0
Day 17 - Part 4,97.6,29,0
Day 17 - Part 5,97.1,34,0
Day 17 - Part 3 - Learn Colon,94.2,17,0
Day 17 - Part 3 - Learn Colon,24.0,-438,0
Day 17 - Part 3 - Learn Colon,96.8,22,0
Day 17 - Part 1,39.7,-204,0
Day 17 - Part 1,95.5,33,0
Day 17 - Part 1,23.1,-423,0
Day 17 - Part 1,53.8,-150,0
Day 17 - Part 1,21.8,-768,0
Day 17 - Part 1,97.4,39,0
Day 16 - Part 5,76.3,-22,0
Day 16 - Part 5,58.3,-111,0
Day 16 - Part 5,45.9,-256,0
Day 16 - Part 5,46.6,-242,0
Day 16 - Part 5,27.1,-513,0
Day 16 - Part 5,38.7,-341,0
Day 16 - Part 5,48.1,-192,0
Day 16 - Part 5,31.6,-495,0
Day 16 - Part 5,76.3,-29,0
Day 16 - Part 5,24.1,-516,0
Day 16 - Part 5,14.7,-2630,0
Day 16 - Part 5,18.0,-1136,0
Day 16 - Part 5,14.7,-1878,0
Day 16 - Part 5,15.8,-1078,0
Day 17 - Part 4,14.0,-2066,0
Day 16 - Part 5,25.2,-856,0
Day 16 - Part 4,15.9,-1876,0
Day 16 - Part 5,30.1,-425,0
Day 16 - Part 5,52.6,-127,0
Day 16 - Part 5,35.0,-402,0
Day 16 - Part 5,12.4,-2716,0
Day 16 - Part 5,12.0,-2731,0
Day 16 - Part 5,12.0,-2276,0
Day 17 - Part 1,14.7,-1284,0
Day 16 - Part 4,13.3,-2226,0
Day 16 - Part 4,12.3,-2257,0
Day 17 - Part 2 - Learn V,13.1,-1548,0
Day 17 - Part 5,2.2,-1656,0
Day 16 - Part 5,12.4,-2264,0
Day 17 - Part 3 - Learn Colon,12.3,-1574,0
Day 17 - Part 3 - Learn Colon,11.7,-1324,0
Day 16 - Part 4,13.3,-2598,0
Day 17 - Part 5,15.9,-2526,0
Day 16 - Part 5,53.8,-123,0
