Lesson,Accuracy,WPM,Idle Time

Day 19 - Part 1,96.4,31,0
Day 19 - Part 2 - Learn Apostrophe,90.8,13,0
Day 19 - Part 3 - Learn Quotation,81.0,-4,0
Day 19 - Part 4 - Learn Hyphen,87.3,5,2
Day 19 - Part 5,98.4,32,0
Day 19 - Part 6,91.2,12,2
Day 19 - Part 7,91.8,23,0
Day 19 - Part 9,95.8,32,0
Day 19 - Part 3 - Learn Quotation,17.4,-474,0
Day 19 - Part 3 - Learn Quotation,95.4,27,0
Day 19 - Part 4 - Learn Hyphen,10.6,-1338,0
Day 19 - Part 4 - Learn Hyphen,34.3,-240,0
Day 19 - Part 4 - Learn Hyphen,7.6,-2090,0
Day 19 - Part 4 - Learn Hyphen,33.0,-274,0
Day 19 - Part 4 - Learn Hyphen,22.3,-453,0
Day 19 - Part 4 - Learn Hyphen,92.5,13,0
Day 19 - Part 2 - Learn Apostrophe,93.8,20,0
Day 19 - Part 6,72.4,-24,0
Day 19 - Part 6,11.3,-1770,0
Day 19 - Part 6,10.9,-2493,0
Day 19 - Part 6,10.9,-2493,0
Day 19 - Part 6,12.1,-1531,0
Day 19 - Part 6,9.6,-1812,0
Day 19 - Part 6,10.9,-2493,0
Day 19 - Part 6,2.1,-2330,0
Day 19 - Part 6,0.4,-2853,0
Day 19 - Part 6,10.9,-2493,0
Day 19 - Part 6,0.0,-1792,0
Day 19 - Part 6,19.2,-848,0
