Lesson,Accuracy,WPM,Idle Time

Scripture - 1 Min - Novice - John 3 v 16,96.2,24,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,96.0,34,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94.5,24,0
Scripture - 3 Min - Novice - Psalm 23,95.1,26,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,96.6,29,0
Scripture - 5 Min - Novice - Psalm 51,97.6,34,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,94.9,24,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,92.1,19,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,9.2,-2726,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,95.7,27,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,10.2,-2351,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,35.3,-297,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94.4,22,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,28.7,-578,0
