Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/19/2021,Home Row Intro,98,29,164
8/24/2021,Spacebar and Home Row,98,31,49
8/25/2021,Letters E and H,99,34,23
8/26/2021,Letters O and R,99,39,4
8/27/2021,Review-L04,98,36,0
8/30/2021,Letters I and T,98,40,0
8/31/2021,Left Shift and Period,97,30,11
9/1/2021,Letters U and C,98,29,2
9/2/2021,Review-L08,99,38,0
09/07/21,Letters N and W,98.0,33.0,0
09/07/21,Letter G and Right Shift,98.0,34.0,3
09/07/21,Letter G and Right Shift,98.0,34.0,3
09/08/21,Letters B and P,98.0,33.0,1
09/09/21,Review-L12,98.0,34.0,3
09/09/21,Review-L12,98.0,34.0,3
09/10/21,Letters M and X,98.0,35.0,0
09/10/21,Letters M and X,98.0,35.0,0
09/13/21,Letters Y and Z,97.0,32.0,3
09/14/21,Letter Q and Comma,96.0,28.0,5
09/15/21,Review-L16,94.0,17.0,0
09/15/21,Review-L16,98.0,29.0,1
09/15/21,Review-L16,98.0,29.0,1
09/15/21,Review-L16,96.0,30.0,1
09/16/21,Letter V and Colon,97.0,32.0,6
09/17/21,Caps Lock and Question Mark,96.0,24.0,0
09/20/21,Quotations & Apsotrophe & Hyphen,94.0,24.0,4
09/21/21,Evaluate Speed-01,96.0,28.0,0
09/22/21,Review 1-01,98.0,35.0,6
