name,date,score,time,time_of_day

Letter Game,08-19-21,590,112,49055
Letter Game,08-19-21,213,25,49110
Letter Game,08-19-21,307,1,49119
Letter Game,08-19-21,-30,89,49235
Letter Game,08-24-21,-760,92,48858
Letter Game,08-24-21,560,90,48984
Letter Game,08-24-21,320,4,49019
Letter Game,08-24-21,-1130,94,49126
Letter Game,08-24-21,320,4,49211
Letter Game,08-24-21,-1540,88,49307
Letter Game,08-25-21,325,9,48800
Letter Game,08-25-21,-4220,60,48883
Letter Game,08-25-21,-580,57,48990
Letter Game,08-25-21,361,1,49015
Letter Game,08-25-21,-5440,60,49098
Letter Game,08-25-21,-7315,75,49281
Letter Game,08-25-21,-2255,65,49381
Letter Game,08-26-21,-4440,146,49144
Letter Game,08-26-21,-640,65,49391
Letter Game,08-27-21,-2190,26,49354
Letter Game,08-27-21,362,2,49388
Letter Game,08-30-21,-2860,59,49091
Letter Game,08-30-21,262,5,49115
Letter Game,08-30-21,-3610,40,49184
Letter Game,08-31-21,-3625,43,49090
Letter Game,08-31-21,705,15,49166
Letter Game,08-31-21,925,14,49206
Letter Game,08-31-21,925,17,49252
Letter Game,08-31-21,750,18,49283
Letter Game,08-31-21,69,14,49343
Letter Game,09-01-21,1035,21,49116
Letter Game,09-01-21,507,14,49159
Letter Game,09-01-21,312,15,49179
Letter Game,09-01-21,-4775,77,49273
Letter Game,09-01-21,1065,16,49351
Zerg Rush,09-02-21,18,22,48831
Zerg Rush,09-02-21,0,20,48873
Letter Game,09-02-21,743,23,48930
Zerg Rush,09-02-21,24,27,48983
Letter Game,09-02-21,280,89,49087
Letter Game,09-02-21,-2355,46,49163
Letter Game,09-02-21,-1435,86,49257
Letter Game,09-02-21,-3620,40,49312
Letter Game,09-02-21,517,39,49372
Letter Game,09-03-21,-1100,80,48982
Letter Game,09-03-21,-2590,60,49082
Letter Game,09-03-21,-2995,49,49188
Letter Game,09-03-21,-2060,137,49361
Letter Game,09-07-21,-3060,71,49164
Letter Game,09-07-21,-4295,45,49250
Letter Game,09-07-21,275,35,49294
Letter Game,09-07-21,197,18,49349
Letter Game,09-09-21,721,10,49725
Letter Game,09-09-21,379,2,49732
Letter Game,09-09-21,340,5,49742
Letter Game,09-09-21,676,10,49759
Letter Game,09-09-21,810,10,49783
Letter Game,09-09-21,-2440,61,49910
Letter Game,09-09-21,-4380,36,49963
Letter Game,09-09-21,-2985,42,50043
Letter Game,09-10-21,979,12,48885
Letter Game,09-10-21,1188,12,48951
Letter Game,09-10-21,930,15,48987
Letter Game,09-10-21,1070,16,49014
Letter Game,09-10-21,1160,19,49132
Letter Game,09-10-21,790,15,49180
Letter Game,09-10-21,-4795,60,49288
Letter Game,09-10-21,348,2,49311
Letter Game,09-10-21,-167,59,49400
Letter Game,09-16-21,-3180,64,48917
Letter Game,09-16-21,265,2,48932
Letter Game,09-16-21,-2430,41,48998
Letter Game,09-16-21,306,2,49113
Letter Game,09-16-21,-2800,48,49166
Letter Game,09-16-21,-2610,55,49243
Letter Game,09-16-21,-3600,62,49330
Letter Game,09-16-21,263,6,49370
Letter Game,09-16-21,425,29,49434
Letter Game,09-17-21,1000,13,49082
Letter Game,09-17-21,346,3,49089
Letter Game,09-17-21,933,13,49106
Letter Game,09-17-21,718,13,49151
Letter Game,09-17-21,1315,10,49197
Letter Game,09-17-21,1061,13,49228
Letter Game,09-17-21,930,13,49309
Letter Game,09-17-21,354,3,49330
Letter Game,09-17-21,979,13,49348
Letter Game,09-20-21,1040,13,49170
Letter Game,09-20-21,380,2,49174
Letter Game,09-20-21,863,13,49192
Letter Game,09-20-21,-4650,39,49247
Letter Game,09-20-21,-3210,31,49308
Letter Game,09-20-21,-1850,31,49378
Letter Game,09-22-21,-380,14,48808
Letter Game,09-22-21,1225,13,48846
Letter Game,09-22-21,653,13,48895
Letter Game,09-22-21,957,11,48928
Letter Game,09-22-21,1095,13,48966
Letter Game,09-22-21,-3110,32,49025
Letter Game,09-22-21,1205,14,49066
Letter Game,09-22-21,169,11,49125
Letter Game,09-22-21,41,19,49192
Letter Game,09-22-21,-3995,43,49259
Letter Game,09-22-21,275,4,49325
Letter Game,09-22-21,-4145,42,49371
Letter Game,09-23-21,-410,20,26481
