Lesson,Accuracy,WPM,Idle Time

Day 16 - Part 4,93.9,8,2
Day 16 - Part 5,92.6,7,1
Day 17 - Part 1,94.2,9,0
Day 17 - Part 2 - Learn V,88.2,3,0
Day 17 - Part 3 - Learn Colon,92.2,6,0
Day 17 - Part 4,90.4,5,0
Day 17 - Part 5,90.3,4,11
Day 17 - Part 2 - Learn V,86.9,2,3
Day 17 - Part 2 - Learn V,96.7,16,4
Day 17 - Part 5,94.2,6,9
Day 17 - Part 4,95.4,9,1
Day 17 - Part 3 - Learn Colon,13.0,-229,0
Day 17 - Part 3 - Learn Colon,21.4,-59,11
Day 16 - Part 4,88.9,5,8
Day 17 - Part 3 - Learn Colon,6.5,-65,3
Day 17 - Part 3 - Learn Colon,14.3,-56,0
Day 16 - Part 5,85.0,1,0
Day 17 - Part 3 - Learn Colon,7.1,-66,3
Day 17 - Part 1,89.1,5,2
Day 17 - Part 3 - Learn Colon,3.9,-84,0
Day 17 - Part 2 - Learn V,88.9,6,0
Day 17 - Part 3 - Learn Colon,82.5,0,0
Day 17 - Part 3 - Learn Colon,82.5,0,0
