Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/19/2021,Home Row Intro,97,16,225
8/24/2021,Spacebar and Home Row,98,17,24
8/25/2021,Letters E and H,98,17,96
8/26/2021,Letters O and R,95,12,50
8/27/2021,Review-L04,95,9,55
8/30/2021,Letters I and T,97,13,37
8/31/2021,Left Shift and Period,94,8,24
9/1/2021,Letters U and C,96,8,76
9/2/2021,Review-L08,97,8,76
9/3/2021,Letters N and W,95,8,94
09/07/21,Letter G and Right Shift,96.0,8.0,71
09/09/21,Letters B and P,95.0,7.0,57
09/09/21,Review-L12,97.0,14.0,21
09/10/21,Letters M and X,95.0,10.0,56
09/16/21,Letters Y and Z,93.0,6.0,44
09/17/21,Letter Q and Comma,93.0,7.0,15
09/20/21,Review-L16,96.0,12.0,22
09/21/21,Letter V and Colon,87.0,3.0,10
09/22/21,Caps Lock and Question Mark,92.0,8.0,24
09/23/21,Quotations & Apsotrophe & Hyphen,94.0,11.0,1
