name,date,score,time,time_of_day

Letter Game,08-19-21,750,128,49068
Letter Game,08-19-21,760,103,49194
Letter Game,08-19-21,430,50,49266
Letter Game,08-24-21,580,112,49281
Letter Game,08-24-21,288,5,49316
Letter Game,08-24-21,481,46,49381
Letter Game,08-25-21,580,117,48901
Letter Game,08-25-21,313,7,48927
Letter Game,08-25-21,1025,107,49039
Letter Game,08-25-21,835,90,49139
Letter Game,08-25-21,677,90,49255
Letter Game,08-25-21,599,100,49391
Letter Game,08-26-21,400,114,49286
Letter Game,08-26-21,425,80,49390
Letter Game,08-27-21,-320,118,49282
Letter Game,08-27-21,312,33,49398
Letter Game,08-30-21,698,75,49405
Letter Game,08-31-21,380,111,49175
Letter Game,08-31-21,730,113,49334
Letter Game,08-31-21,325,13,49376
Letter Game,09-01-21,496,69,49378
Zerg Rush,09-02-21,20,25,48878
Zerg Rush,09-02-21,36,29,48914
Zerg Rush,09-02-21,68,35,48961
Zerg Rush,09-02-21,138,54,49026
Zerg Rush,09-02-21,108,45,49079
Zerg Rush,09-02-21,26,28,49121
Zerg Rush,09-02-21,36,22,49154
Zerg Rush,09-02-21,34,29,49188
Zerg Rush,09-02-21,102,45,49236
Zerg Rush,09-02-21,150,25,49276
Zerg Rush,09-02-21,8,13,49320
Zerg Rush,09-02-21,96,38,49372
Zerg Rush,09-03-21,108,47,48955
Zerg Rush,09-03-21,96,41,49019
Zerg Rush,09-03-21,68,35,49065
Zerg Rush,09-03-21,62,33,49107
Zerg Rush,09-03-21,116,47,49171
Zerg Rush,09-03-21,96,43,49245
Zerg Rush,09-03-21,30,27,49324
Zerg Rush,09-03-21,70,28,49373
Zerg Rush,09-07-21,72,37,49287
Zerg Rush,09-07-21,50,31,49341
Zerg Rush,09-07-21,26,26,49376
Zerg Rush,09-08-21,78,39,48922
Zerg Rush,09-08-21,186,65,49003
Zerg Rush,09-08-21,90,43,49058
Zerg Rush,09-08-21,128,52,49113
Zerg Rush,09-08-21,64,25,49151
Zerg Rush,09-08-21,118,50,49209
Zerg Rush,09-08-21,342,20,49232
Zerg Rush,09-08-21,54,35,49275
Zerg Rush,09-08-21,225,26,49323
Zerg Rush,09-08-21,80,39,49383
Zerg Rush,09-09-21,110,49,49858
Zerg Rush,09-09-21,54,29,49911
Zerg Rush,09-09-21,86,43,49995
Zerg Rush,09-09-21,98,41,50051
Zerg Rush,09-09-21,60,19,50095
Zerg Rush,09-10-21,50,33,48937
Zerg Rush,09-10-21,110,49,48989
Zerg Rush,09-10-21,216,68,49059
Zerg Rush,09-10-21,300,87,49195
Zerg Rush,09-10-21,52,33,49292
Zerg Rush,09-10-21,86,41,49366
Zerg Rush,09-13-21,84,37,49301
Zerg Rush,09-13-21,176,60,49368
Zerg Rush,09-13-21,24,22,49398
Zerg Rush,09-14-21,78,39,49068
Zerg Rush,09-14-21,60,33,49104
Zerg Rush,09-14-21,58,35,49153
Zerg Rush,09-14-21,50,32,49189
Zerg Rush,09-14-21,52,31,49226
Zerg Rush,09-14-21,66,35,49271
Letter Game,09-14-21,468,100,49407
Zerg Rush,09-15-21,228,74,48192
Zerg Rush,09-15-21,248,72,48267
Zerg Rush,09-15-21,38,31,48308
Zerg Rush,09-15-21,206,71,48381
Zerg Rush,09-15-21,158,58,48445
Zerg Rush,09-15-21,74,35,48488
Zerg Rush,09-15-21,84,39,48530
Zerg Rush,09-15-21,58,35,48569
Zerg Rush,09-15-21,182,63,48638
Zerg Rush,09-15-21,142,56,48702
Zerg Rush,09-15-21,104,41,48763
Zerg Rush,09-15-21,152,56,48834
Zerg Rush,09-15-21,38,32,48873
Zerg Rush,09-15-21,104,45,48926
Zerg Rush,09-15-21,94,43,48974
Zerg Rush,09-15-21,72,39,49016
Zerg Rush,09-15-21,94,43,49068
Zerg Rush,09-15-21,218,70,49142
Zerg Rush,09-15-21,188,65,49214
Zerg Rush,09-15-21,34,29,49251
Zerg Rush,09-15-21,148,54,49314
Zerg Rush,09-15-21,186,63,49391
Zerg Rush,09-15-21,102,45,49442
Zerg Rush,09-16-21,176,65,49159
Zerg Rush,09-16-21,160,60,49224
Zerg Rush,09-16-21,90,37,49267
Zerg Rush,09-16-21,106,45,49315
Zerg Rush,09-16-21,114,47,49365
Zerg Rush,09-16-21,114,49,49419
Zerg Rush,09-16-21,14,8,49433
Zerg Rush,09-17-21,158,56,49224
Zerg Rush,09-17-21,172,61,49289
Zerg Rush,09-17-21,204,67,49392
Zerg Rush,09-20-21,218,70,49233
Zerg Rush,09-20-21,108,45,49296
Zerg Rush,09-20-21,118,46,49354
Zerg Rush,09-20-21,80,39,49397
Zerg Rush,09-21-21,182,58,48936
Zerg Rush,09-21-21,34,27,48967
Zerg Rush,09-21-21,42,33,49003
Zerg Rush,09-21-21,76,39,49045
Zerg Rush,09-21-21,62,37,49098
Letter Game,09-21-21,201,13,49119
Zerg Rush,09-21-21,36,29,49164
Zerg Rush,09-21-21,134,54,49221
Zerg Rush,09-21-21,88,45,49312
Zerg Rush,09-21-21,94,41,49377
Zerg Rush,09-22-21,76,37,49026
Zerg Rush,09-22-21,146,54,49088
Zerg Rush,09-22-21,178,62,49160
Zerg Rush,09-22-21,138,50,49223
Zerg Rush,09-22-21,116,47,49283
Zerg Rush,09-22-21,150,58,49364
Zerg Rush,09-22-21,160,51,49422
