Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,99.3,21,0
Day 01 - Part 2 - Learn Home Row,96.6,23,0
Day 01 - Part 3,95.9,18,0
Day 01 - Part 4,91.9,12,0
Day 01 - Part 5,95.2,13,0
Day 01 - Part 6,95.3,18,0
Day 01 - Part 7,95.7,13,1
Day 01 - Part 8,98.8,24,0
Day 01 - Part 9,98.0,20,0
Day 01 - Part 4,96.2,16,0
Day 01 - Part 5,94.9,13,0
Day 01 - Part 5,96.4,15,0
Day 01 - Part 6,96.9,18,2
Day 01 - Part 7,96.2,18,0
Day 01 - Part 3,93.7,13,0
Day 01 - Part 3,96.8,17,0
Day 01 - Part 4,93.2,13,8
