Lesson,Accuracy,WPM,Idle Time

Day 07 - Part 1,98.7,16,0
Day 07 - Part 2 - Learn C,95.4,11,0
Day 07 - Part 3 - Learn U,97.4,20,0
Day 07 - Part 4,96.7,16,0
Day 07 - Part 5,95.4,10,0
Day 07 - Part 6,94.3,10,0
Day 07 - Part 7,99.3,29,0
Day 07 - Part 8,87.6,4,0
Day 07 - Part 8,95.4,10,0
Day 07 - Part 6,97.5,13,0
Day 07 - Part 5,95.4,11,0
Day 07 - Part 8,96.1,12,0
Day 07 - Part 2 - Learn C,99.3,18,0
Day 07 - Part 5,98.7,13,0
Day 07 - Part 8,97.4,11,0
Day 07 - Part 4,96.1,14,0
Day 07 - Part 4,94.1,13,0
