Lesson,Accuracy,WPM,Idle Time

Scripture - 1 Min - Novice - John 3 v 16,94.5,14,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,90.3,9,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,97.5,20,0
Scripture - 3 Min - Novice - Psalm 23,97.1,19,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,93.4,14,0
Scripture - 5 Min - Novice - Psalm 51,96.1,19,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,94.8,16,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,96.2,17,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.7,27,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,96.0,17,0
Scripture - 1 Min - Novice - John 3 v 16,97.7,22,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,96.5,18,0
