Lesson,Accuracy,WPM,Idle Time

Day 20 - Part 1,97.4,18,0
Day 20 - Part 2,98.7,20,0
Day 20 - Part 3,97.4,17,0
Day 20 - Part 4,98.7,19,0
Day 20 - Part 5,92.9,11,0
Day 20 - Part 6,96.9,19,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,93.8,18,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,93.7,15,0
Day 20 - Part 5,96.5,16,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.6,25,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,97.9,25,0
Day 20 - Part 5,96.9,20,0
Day 20 - Part 6,94.7,19,1
Day 20 - Part 6,96.5,20,0
Day 20 - Part 6,97.4,25,0
Day 20 - Part 5,95.6,19,0
