Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/19/2021,Home Row Intro,96,16,169
8/24/2021,Spacebar and Home Row,97,19,11
8/25/2021,Letters E and H,99,20,1
8/26/2021,Letters O and R,98,21,2
8/27/2021,Review-L04,98,19,2
8/30/2021,Letters I and T,98,21,0
8/31/2021,Left Shift and Period,98,16,0
9/1/2021,Letters U and C,98,17,0
9/2/2021,Review-L08,99,17,1
9/3/2021,Letters N and W,99,18,0
9/7/2021,Letter G and Right Shift,100,18,0
9/8/2021,Letters B and P,100,18,0
9/9/2021,Review-L12,98,18,0
9/10/2021,Letters M and X,98,20,0
9/13/2021,Letters Y and Z,99,21,0
9/14/2021,Letter Q and Comma,97,16,6
9/15/2021,Review-L16,95,13,0
09/16/21,Letter V and Colon,97.0,15.0,0
09/17/21,Caps Lock and Question Mark,95.0,14.0,0
09/20/21,Quotations & Apsotrophe & Hyphen,95.0,14.0,1
09/21/21,Evaluate Speed-01,97.0,20.0,0
09/22/21,Review 1-01,98.0,21.0,1
