Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,90,43,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,46,11,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94,34,0
Scripture - 3 Min - Novice - Psalm 23,66,15,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,75,30,0
Scripture - 5 Min - Novice - Psalm 51,100,30,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,100,26,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,50,14,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100,41,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,46,11,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,100,33,0
Scripture - 1 Min - Novice - John 3 v 16,100,39,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,94,43,0
