Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,0,0,95
Day 01 - Part 1 - Learn Spacebar,0,0,4
Day 01 - Part 1 - Learn Spacebar,0,0,4
Day 01 - Part 1 - Learn Spacebar,0,0,1
Day 01 - Part 1 - Learn Spacebar,0,0,35
Day 01 - Part 1 - Learn Spacebar,0,0,26
Day 01 - Part 1 - Learn Spacebar,0,0,10
Day 01 - Part 1 - Learn Spacebar,0,0,4
Day 01 - Part 1 - Learn Spacebar,0,0,0
Day 01 - Part 1 - Learn Spacebar,100,0,106
Day 01 - Part 1 - Learn Spacebar,0,0,0
Day 01 - Part 2 - Learn Home Row,100,4,0
Day 01 - Part 1 - Learn Spacebar,0,0,5
Day 01 - Part 1 - Learn Spacebar,0,0,0
