Lesson,Accuracy,WPM,IdleTime

testydodad,100,72,0
testydodad - Copy,95,46,0
testydodad - Copy - Copy,91,66,0
testydodad,100,47,0
testydodad - Copy,100,57,0
testydodad - Copy - Copy,95,55,0
testydodad - Copy - Copy,100,72,0
testydodad,62,36,0
testydodad - Copy,100,57,0
testydodad - Copy - Copy,100,72,0
testydodad,100,72,0
testydodad - Copy,100,57,0
testydodad,100,72,0
testydodad - Copy,100,95,0
testydodad - Copy - Copy,100,72,0
testydodad,100,72,0
testydodad - Copy,100,72,0
testydodad - Copy - Copy,100,72,0
testydodad,100,95,0
testydodad - Copy,100,72,0
testydodad - Copy - Copy,100,95,0
testydodad,100,72,0
testydodad - Copy,95,69,0
testydodad - Copy - Copy,100,72,0
testydodad - Copy,95,39,0
testydodad - Copy,100,72,0
