Lesson,Accuracy,WPM,IdleTime

testydodad,100,57,0
testydodad,100,95,0
testydodad - Copy,100,95,0
testydodad - Copy - Copy,100,57,0
testydodad,100,57,0
testydodad,100,57,0
testydodad,100,57,0
testydodad,100,57,0
testydodad,100,26,0
testydodad,16,1,4
testydodad,79,32,0
testydodad - Copy,0,0,49
testydodad - Copy - Copy,0,0,0
testydodad - Copy,20,6,0
testydodad - Copy - Copy,8,4,0
testydodad - Copy - Copy,8,6,0
testydodad - Copy - Copy,8,4,0
testydodad - Copy - Copy,12,4,0
testydodad - Copy - Copy,0,0,56
testydodad,100,23,3
testydodad - Copy,100,26,0
testydodad - Copy - Copy,100,16,0
testydodad,100,47,0
