Lesson,Accuracy,WPM,Idle Time

testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,1
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,100,0,0
testydodad,0,0,0
testydodad,100.0,288,0
testydodad,100.0,96,0
testydodad,100.0,96,0
testydodad,100.0,96,0
testydodad,100.0,96,0
testydodad,91.7,48,0
testydodad,91.7,48,0
testydodad,91.7,80,0
testydodad - Copy,100.0,96,0
testydodad - Copy - Copy,100.0,96,0
testydodad,95.8,52,0
testydodad - Copy,100.0,96,0
testydodad - Copy - Copy,100.0,96,0
testydodad,100.0,41,0
testydodad - Copy,100.0,72,0
testydodad - Copy - Copy,100.0,41,0
testydodad,83.3,48,0
testydodad,91.7,80,0
testydodad - Copy,100.0,96,0
testydodad - Copy - Copy,100.0,72,0
testydodad,100.0,57,0
testydodad,100.0,96,0
testydodad - Copy - Copy,100.0,96,0
testydodad,87.5,36,0
testydodad - Copy,75.0,36,0
testydodad - Copy - Copy,100.0,96,0
testydodad,100.0,96,0
testydodad - Copy,100.0,96,0
testydodad - Copy - Copy,100.0,144,0
testydodad,100.0,96,0
testydodad - Copy,100.0,96,0
testydodad - Copy - Copy,100.0,144,0
testydodad,100.0,96,0
testydodad - Copy,100.0,96,0
testydodad - Copy - Copy,91.7,80,0
testydodad,83.3,96,0
testydodad - Copy,95.8,66,0
testydodad - Copy - Copy,95.8,66,0
testydodad - Copy,100.0,96,0
testydodad - Copy - Copy,100.0,96,0
testydodad,100.0,96,0
testydodad,95.8,12,5
testydodad,100.0,96,0
testydodad,100.0,96,0
testydodad - Copy,25.0,-20,0
testydodad,100.0,72,0
testydodad - Copy,14.3,-60,0
testydodad,100.0,57,0
testydodad - Copy,0.0,0,54
testydodad,100.0,96,0
testydodad - Copy,37.5,-10,0
testydodad,100.0,96,0
testydodad - Copy,100.0,96,0
testydodad - Copy - Copy,100.0,96,0
testydodad,91.7,120,0
testydodad,100.0,96,0
testydodad - Copy,100.0,96,0
testydodad,100.0,28,0
testydodad,100.0,16,0
testydodad,100.0,96,0
testydodad,100.0,57,0
testydodad,91.7,60,0
testydodad,100.0,72,0
testydodad,100.0,72,0
testydodad - Copy,100.0,72,0
testydodad - Copy - Copy,87.5,19,0
testydodad,100.0,72,0
testydodad - Copy - Copy,100.0,96,0
testydodad,20.8,-42,0
testydodad - Copy,12.5,-216,0
testydodad - Copy - Copy,12.5,0,0
testydodad,12.5,-72,0
testydodad - Copy,4.2,-264,0
testydodad - Copy - Copy,0.0,0,0
testydodad,4.2,-132,0
testydodad - Copy,12.5,-216,0
testydodad - Copy - Copy,8.3,-240,0
