Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,100.0,30,0
Day 01 - Part 2 - Learn Home Row,100.0,51,0
Day 01 - Part 3,100.0,72,0
Day 01 - Part 4,94.1,36,0
Day 01 - Part 5,100.0,39,0
Day 01 - Part 6,100.0,60,0
Day 01 - Part 7,80.0,18,0
Day 01 - Part 8,100.0,72,0
Day 01 - Part 9,100.0,48,0
Day 01 - Part 7,100.0,56,0
Day 01 - Part 1 - Learn Spacebar,75.0,24,0
Day 01 - Part 4,100.0,30,0
Day 01 - Part 4,100.0,51,0
Day 01 - Part 1 - Learn Spacebar,90.9,36,0
Day 01 - Part 1 - Learn Spacebar,100.0,96,0
