Date,Lesson,Accuracy,WPM,Idle Time
,,,,
1/1/2010,Evaluate Speed,49.5,39,0
1/2/2010,Letters O and R,93,45,0
1/3/2010,Spacebar and Home Row,100,40,0
1/4/2010,Letters E and H,98,64,0
1/5/2010,Review,98,50,0
1/6/2010,Spacebar and Home Row,77.25,11.75,0
1/7/2010,Letters O and R,95,50,3
1/8/2010,Letters E and H,100,68,0
1/9/2010,Letters O and R,96,54,0
1/10/2010,Letters O and R,96,52,0
1/11/2010,Letters E and H,100,64,0
1/12/2010,Letters E and H,100,82,0
1/13/2010,Letters O and R,99,63,0
1/14/2010,Letters E and H,100,74,0
1/15/2010,Letters E and H,76,36,0
1/16/2010,Letters E and H,95,58,21
1/17/2010,Letters E and H,56,55,0
1/18/2010,Letters E and H,69,48,0
1/19/2010,Letters E and H,54,30,0
1/20/2010,Letters E and H,0,0,0
1/21/2010,Review,33,8,0
1/22/2010,Review,51,14,0
1/23/2010,Spacebar and Home Row,49,17,19
1/24/2010,Spacebar and Home Row,96,69,0
1/25/2010,Review 4,93,32,47
1/26/2010,Review 4,80,21,0
1/27/2010,TestyThingamabob,100,25,0
1/28/2010,TestyThingamabob,0,0,4
1/29/2010,TestyThingamabob,0,0,9
1/30/2010,TestyThingamabob,0,0,0
1/31/2010,TestyThingamabob,0,0,0
2/1/2010,TestyThingamabob,25,5,0
2/2/2010,TestyThingamabob,4,2,0
2/3/2010,TestyThingamabob,0,0,5
2/4/2010,TestyThingamabob,0,0,21
2/5/2010,TestyThingamabob,0,0,1
2/6/2010,TestyThingamabob,0,0,0
2/7/2010,TestyThingamabob,0,0,0
2/8/2010,TestyThingamabob,0,0,0
2/9/2010,TestyThingamabob,85,33,3
2/10/2010,Spacebar and Home Row,93,29,0
2/11/2010,TestyThingamabob,84,33,0
2/12/2010,TestyThingamabob,76,40,0
2/13/2010,TestyThingamabob,81,40,0
2/14/2010,TestyThingamabob,87,33,0
2/15/2010,TestyThingamabob,68,22,0
2/16/2010,TestyThingamabob,88,30,0
2/17/2010,TestyThingamabob,80,24,0
2/18/2010,TestyThingamabob,87,27,0
2/19/2010,TestyThingamabob,87,33,0
2/20/2010,Review,100,29,0
2/21/2010,TestyThingamabob,94,44,0
2/22/2010,TestyThingamabob,100,4,0
2/23/2010,TestyThingamabob,100,36,0
2/24/2010,TestyThingamabob,100,30,0
2/25/2010,TestyThingamabob,100,30,0
2/26/2010,Letters O and R,0,0,23
2/27/2010,TestyThingamabob,0,0,21
2/28/2010,Review 6,99,13,0
3/1/2010,Review 6,100,14,2
3/2/2010,Review 7,96,26,0
3/3/2010,Spacebar and Home Row,50,16,1
3/4/2010,Evaluate Speed,91,32,56
3/5/2010,Letters Y and Z,96,22,0
3/6/2010,Evaluate Speed,97,41,0
3/7/2010,Review 1,89,25,0
3/8/2010,Letters E and H,97,32,0
3/9/2010,Letters N and W,49,10,0
3/10/2010,Spacebar and Home Row,50,16,0
3/11/2010,Spacebar and Home Row,97,4,147
3/12/2010,Spacebar and Home Row,100,3,0
3/13/2010,Spacebar and Home Row,64,31,0
3/14/2010,TestyThingamabob,100,70,56
3/15/2010,TestyThingamabob,100,52,76
