name,date,score,time,time_of_day

Letter Game,08-19-21,460,140,49078
Letter Game,08-19-21,440,123,49238
Letter Game,08-24-21,810,108,48926
Letter Game,08-24-21,730,100,49054
Letter Game,08-24-21,480,106,49208
Letter Game,08-24-21,730,103,49335
Letter Game,08-25-21,430,110,48857
Letter Game,08-25-21,263,4,48872
Letter Game,08-25-21,-1250,87,48966
Letter Game,08-25-21,660,99,49093
Letter Game,08-25-21,800,98,49205
Letter Game,08-25-21,140,98,49322
Letter Game,08-25-21,575,62,49397
Letter Game,08-27-21,560,108,49087
Letter Game,08-27-21,410,67,49176
Letter Game,08-27-21,600,86,49289
Letter Game,08-27-21,520,60,49400
Letter Game,08-30-21,690,80,49003
Letter Game,08-30-21,263,3,49015
Letter Game,08-30-21,730,88,49114
Letter Game,08-30-21,250,83,49203
Letter Game,08-30-21,810,78,49318
Letter Game,08-30-21,265,2,49347
Letter Game,08-30-21,269,0,49356
Letter Game,08-30-21,361,24,49405
Letter Game,08-31-21,890,85,48973
Letter Game,08-31-21,268,1,49002
Letter Game,08-31-21,720,82,49124
Letter Game,08-31-21,268,1,49135
Letter Game,08-31-21,268,1,49142
Letter Game,08-31-21,920,85,49314
Letter Game,08-31-21,829,72,49411
Letter Game,09-01-21,900,91,48459
Letter Game,09-01-21,980,83,48576
Letter Game,09-01-21,265,2,48606
Letter Game,09-01-21,870,74,48685
Letter Game,09-01-21,930,81,48780
Letter Game,09-01-21,870,82,48870
Letter Game,09-01-21,990,77,48966
Letter Game,09-01-21,1020,79,49057
Letter Game,09-01-21,440,66,49293
Letter Game,09-01-21,767,67,49385
Zerg Rush,09-02-21,0,16,48700
Zerg Rush,09-02-21,46,35,48762
Zerg Rush,09-02-21,374,115,48886
Zerg Rush,09-02-21,248,82,49000
Letter Game,09-02-21,1010,72,49123
Letter Game,09-02-21,268,1,49136
Letter Game,09-02-21,760,50,49216
Letter Game,09-02-21,720,74,49306
Letter Game,09-02-21,505,31,49373
Zerg Rush,09-03-21,30,30,48934
Zerg Rush,09-03-21,32,27,49037
Letter Game,09-03-21,1080,73,49134
Zerg Rush,09-03-21,252,20,49172
Zerg Rush,09-03-21,152,56,49305
Zerg Rush,09-03-21,68,35,49398
Zerg Rush,09-07-21,72,37,49303
Zerg Rush,09-07-21,120,46,49366
Zerg Rush,09-08-21,62,34,49194
Zerg Rush,09-08-21,52,31,49257
Zerg Rush,09-08-21,10,23,49291
Zerg Rush,09-08-21,102,45,49351
Zerg Rush,09-10-21,200,69,48909
Zerg Rush,09-10-21,130,48,49003
Zerg Rush,09-10-21,178,61,49076
Letter Game,09-10-21,260,70,49180
Zerg Rush,09-10-21,684,22,49238
Zerg Rush,09-10-21,486,20,49339
Zerg Rush,09-14-21,50,33,49029
Zerg Rush,09-14-21,58,35,49077
Zerg Rush,09-14-21,106,43,49126
Zerg Rush,09-14-21,78,39,49175
Zerg Rush,09-14-21,84,41,49223
Zerg Rush,09-14-21,76,33,49260
Zerg Rush,09-14-21,360,20,49288
Zerg Rush,09-14-21,360,20,49311
Zerg Rush,09-14-21,54,33,49349
Zerg Rush,09-14-21,88,41,49395
Zerg Rush,09-14-21,0,6,49404
Zerg Rush,09-15-21,432,21,48925
Zerg Rush,09-15-21,468,21,48954
Zerg Rush,09-15-21,324,21,48988
Zerg Rush,09-15-21,630,21,49015
Zerg Rush,09-15-21,432,20,49065
Zerg Rush,09-15-21,468,20,49107
Zerg Rush,09-15-21,630,21,49139
Zerg Rush,09-15-21,630,20,49183
Zerg Rush,09-15-21,450,21,49210
Zerg Rush,09-15-21,396,21,49234
Zerg Rush,09-15-21,486,20,49260
Zerg Rush,09-15-21,468,21,49286
Zerg Rush,09-15-21,324,20,49313
Zerg Rush,09-15-21,720,21,49346
Zerg Rush,09-15-21,216,20,49372
Letter Game,09-15-21,202,38,49448
Zerg Rush,09-16-21,130,48,48950
Zerg Rush,09-16-21,68,28,48986
Zerg Rush,09-16-21,216,20,49012
Zerg Rush,09-16-21,94,45,49083
Zerg Rush,09-16-21,42,29,49122
Zerg Rush,09-16-21,54,33,49159
Zerg Rush,09-16-21,270,20,49186
Zerg Rush,09-16-21,342,20,49209
Zerg Rush,09-16-21,450,20,49234
Zerg Rush,09-16-21,76,33,49272
Zerg Rush,09-16-21,30,27,49302
Zerg Rush,09-16-21,56,31,49335
Zerg Rush,09-16-21,78,37,49375
Zerg Rush,09-16-21,68,35,49417
Zerg Rush,09-16-21,14,11,49433
Zerg Rush,09-17-21,118,51,49221
Zerg Rush,09-17-21,174,60,49310
Zerg Rush,09-17-21,224,74,49389
Zerg Rush,09-20-21,202,61,49139
Zerg Rush,09-20-21,138,54,49204
Zerg Rush,09-20-21,80,41,49256
Zerg Rush,09-20-21,56,27,49292
Zerg Rush,09-20-21,630,21,49317
Letter Game,09-20-21,230,73,49406
Zerg Rush,09-21-21,188,65,49132
Zerg Rush,09-21-21,18,25,49174
Zerg Rush,09-21-21,34,25,49203
Zerg Rush,09-21-21,74,39,49247
Zerg Rush,09-21-21,360,20,49273
Zerg Rush,09-21-21,504,21,49301
Zerg Rush,09-21-21,342,20,49328
Zerg Rush,09-21-21,468,20,49351
Zerg Rush,09-21-21,468,20,49374
Zerg Rush,09-21-21,630,21,49397
Zerg Rush,09-22-21,218,74,49072
Zerg Rush,09-22-21,276,82,49177
Zerg Rush,09-22-21,172,58,49245
Zerg Rush,09-22-21,300,34,49329
Zerg Rush,09-22-21,204,67,49401
