Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,98.5,21,1
Day 01 - Part 2 - Learn Home Row,98.7,28,0
Day 02 - Part 4,86.8,2,1
Day 02 - Part 5,100.0,16,0
Day 03 - Part 1,92.3,8,2
Day 03 - Part 2 - Learn R,91.2,6,0
Day 03 - Part 3 - Learn O,97.8,11,1
Day 03 - Part 4,93.3,7,1
Day 03 - Part 5,91.5,7,0
Day 02 - Part 4,90.5,6,0
Day 02 - Part 4,97.5,14,0
Day 03 - Part 2 - Learn R,89.9,5,0
Day 03 - Part 2 - Learn R,94.1,10,0
Day 03 - Part 5,96.4,12,0
Day 03 - Part 1,95.0,14,0
Day 03 - Part 4,89.9,5,5
