Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,99.3,16,0
Day 09 - Part 2,96.7,14,0
Day 09 - Part 3,98.7,23,0
Day 09 - Part 4 - Learn W,94.8,14,0
Day 09 - Part 5 - Learn N,92.8,13,0
Day 09 - Part 6,88.9,4,1
Day 09 - Part 7,89.0,4,0
Day 09 - Part 8,98.0,12,0
Day 09 - Part 9,95.5,8,0
Day 09 - Part 6,94.1,9,0
Day 09 - Part 7,94.8,9,3
Day 09 - Part 5 - Learn N,94.1,15,0
Day 09 - Part 6,95.4,14,0
Day 09 - Part 5 - Learn N,90.8,12,0
Day 09 - Part 5 - Learn N,95.4,19,0
Day 09 - Part 7,92.3,8,0
Day 09 - Part 7,94.2,10,1
Day 09 - Part 7,92.3,8,0
