Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,96.7,12,0
Day 09 - Part 6,100.0,16,0
Day 10 - Part 1,98.1,14,0
Day 10 - Part 2 - Learn G,96.7,14,0
Day 10 - Part 3 - Learn Right Shift,92.1,4,0
Day 10 - Part 4,96.1,8,0
Day 10 - Part 5,97.1,13,0
Day 10 - Part 3 - Learn Right Shift,98.1,11,0
Day 10 - Part 4,96.8,9,0
Day 09 - Part 1,98.0,17,0
Day 10 - Part 2 - Learn G,96.1,12,1
Day 10 - Part 2 - Learn G,90.2,7,0
Day 10 - Part 2 - Learn G,96.7,15,3
Day 10 - Part 2 - Learn G,91.5,9,0
Day 10 - Part 2 - Learn G,94.8,13,0
