Lesson,Accuracy,WPM,Idle Time

Day 10 - Part 4,33.5,-33,16
Day 10 - Part 4,97.4,11,0
Day 10 - Part 5,100.0,14,0
Day 10 - Part 5,100.0,19,0
Day 11 - Part 1,11.0,-68,3
Day 11 - Part 1,96.1,11,0
Day 11 - Part 2 - Learn B,11.8,-71,4
Day 11 - Part 2 - Learn B,95.4,14,0
Day 11 - Part 3 - Learn P,17.0,-78,0
Day 11 - Part 3 - Learn P,95.4,14,0
Day 10 - Part 4,94.2,9,0
Day 10 - Part 5,100.0,20,0
Day 11 - Part 1,99.4,16,0
Day 11 - Part 2 - Learn B,96.7,16,0
Day 11 - Part 3 - Learn P,98.7,17,0
Day 11 - Part 4,96.1,9,1
Day 11 - Part 5,93.1,8,0
Day 11 - Part 5,96.6,10,1
Day 10 - Part 4,93.5,9,0
Day 10 - Part 4,97.4,14,0
