Lesson,Accuracy,WPM,Idle Time

Day 13 - Part 4,94.8,12,0
Day 13 - Part 6,96.0,11,3
Day 14 - Part 1,97.4,13,0
Day 14 - Part 2,94.8,12,0
Day 14 - Part 3 - Learn Z,97.4,16,0
Day 14 - Part 4 - Learn Y,94.8,12,1
Day 14 - Part 5,92.8,8,0
Day 14 - Part 6,92.4,6,0
Day 14 - Part 6,95.6,12,0
Day 14 - Part 5,92.2,6,2
Day 14 - Part 5,95.4,12,0
Day 13 - Part 4,99.4,19,0
Day 14 - Part 2,95.0,13,0
Day 14 - Part 4 - Learn Y,96.1,17,0
Day 14 - Part 2,95.5,14,0
Day 14 - Part 5,93.5,10,0
Day 14 - Part 5,94.8,11,1
Day 14 - Part 5,95.4,11,11
Day 14 - Part 5,95.4,13,1
Day 14 - Part 5,93.5,11,0
