Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/18/2021,Home Row Intro,18,-8,72
8/19/2021,Home Row Intro,96,14,225
8/24/2021,Spacebar and Home Row,95,15,27
8/25/2021,Letters E and H,97,14,38
8/27/2021,Letters O and R,97,15,11
8/30/2021,Letters I and T,95,11,5
8/31/2021,Left Shift and Period,96,10,18
8/31/2021,Review-L04,94,13,1
9/1/2021,Letters U and C,96,11,185
9/2/2021,Review-L08,98,14,1
9/3/2021,Letters N and W,96,14,5
9/7/2021,Letter G and Right Shift,98,14,4
9/8/2021,Letters B and P,98,15,2
9/9/2021,Review-L12,96,14,3
9/10/2021,Letters M and X,96,14,2
09/13/21,Letters Y and Z,97.0,14.0,19
09/14/21,Letter Q and Comma,97.0,14.0,1
09/15/21,Review-L16,96.0,14.0,1
09/16/21,Letter V and Colon,96.0,15.0,2
09/17/21,Caps Lock and Question Mark,95.0,13.0,3
09/20/21,Quotations & Apsotrophe & Hyphen,97.0,14.0,1
09/21/21,Evaluate Speed-01,96.0,15.0,0
09/22/21,Review 1-01,96.0,17.0,1
