name,date,score,time,time_of_day

Letter Game,08-19-21,1270,71,49008
Letter Game,08-19-21,1200,71,49103
Letter Game,08-19-21,1785,66,49228
Letter Game,08-24-21,1340,70,49200
Letter Game,08-24-21,263,3,49210
Letter Game,08-24-21,1640,65,49297
Letter Game,08-25-21,1250,64,48230
Letter Game,08-25-21,263,3,48239
Letter Game,08-25-21,309,2,48274
Letter Game,08-25-21,1640,63,48349
Letter Game,08-25-21,1975,61,48437
Letter Game,08-25-21,1714,61,48535
Letter Game,08-25-21,1867,61,48628
Letter Game,08-25-21,1627,61,48779
Letter Game,08-25-21,355,26,48817
Letter Game,08-25-21,1596,61,48919
Letter Game,08-25-21,1805,63,48996
Letter Game,08-25-21,390,1,49014
Letter Game,08-25-21,398,1,49018
Letter Game,08-25-21,439,34,49100
Letter Game,08-25-21,1558,60,49294
Letter Game,08-25-21,1850,60,49399
Letter Game,08-30-21,1860,62,47904
Letter Game,08-30-21,1585,60,47980
Letter Game,08-30-21,1895,64,48074
Letter Game,08-30-21,344,3,48085
Letter Game,08-30-21,1940,61,48154
Letter Game,08-30-21,1860,61,48262
Letter Game,08-30-21,347,2,48271
Letter Game,08-30-21,1706,61,48340
Letter Game,08-30-21,268,1,48420
Letter Game,08-30-21,348,1,48431
Letter Game,08-30-21,1721,61,48497
Zerg Rush,08-30-21,0,1,48620
Letter Game,08-30-21,1605,61,48704
Letter Game,08-30-21,1620,58,48790
Letter Game,08-30-21,1980,57,48875
Letter Game,08-30-21,1505,57,49360
Letter Game,08-30-21,246,9,49387
Letter Game,08-31-21,472,55,48664
Zerg Rush,08-31-21,0,2,48702
Letter Game,08-31-21,1875,62,48782
Letter Game,08-31-21,348,1,48901
Letter Game,08-31-21,1930,60,48964
Zerg Rush,08-31-21,378,12,49033
Zerg Rush,08-31-21,0,1,49035
Letter Game,08-31-21,849,30,49263
Letter Game,08-31-21,1635,57,49356
Letter Game,09-02-21,364,13,47878
Zerg Rush,09-02-21,2838,104,48007
Zerg Rush,09-02-21,3228,111,48151
Zerg Rush,09-02-21,5616,41,48244
Zerg Rush,09-02-21,4662,38,48292
Zerg Rush,09-02-21,2988,27,48329
Zerg Rush,09-02-21,4158,34,48365
Zerg Rush,09-02-21,2970,32,48405
Zerg Rush,09-02-21,88,25,48444
Zerg Rush,09-02-21,2376,28,48477
Zerg Rush,09-02-21,3384,32,48599
Zerg Rush,09-02-21,2412,26,48681
Zerg Rush,09-02-21,3078,31,48715
Zerg Rush,09-02-21,3312,31,48781
Zerg Rush,09-02-21,1710,16,48852
Zerg Rush,09-02-21,2286,24,48918
Zerg Rush,09-02-21,3222,32,48985
Zerg Rush,09-02-21,4140,34,49053
Zerg Rush,09-02-21,4014,35,49098
Zerg Rush,09-02-21,3852,35,49155
Zerg Rush,09-02-21,3114,31,49189
Zerg Rush,09-02-21,2826,31,49242
Zerg Rush,09-02-21,3636,34,49284
Zerg Rush,09-02-21,58,14,49310
Zerg Rush,09-02-21,4248,36,49374
Zerg Rush,09-03-21,4284,35,47819
Zerg Rush,09-03-21,4122,81,47915
Zerg Rush,09-03-21,4092,127,48139
Zerg Rush,09-03-21,4644,39,48304
Zerg Rush,09-03-21,3834,34,48343
Letter Game,09-03-21,398,1,48436
Letter Game,09-03-21,396,1,48442
Letter Game,09-03-21,390,1,48448
Letter Game,09-03-21,1346,60,48528
Letter Game,09-03-21,-410,44,48581
Zerg Rush,09-03-21,4266,37,48767
Zerg Rush,09-03-21,2786,353,49134
Zerg Rush,09-03-21,4338,37,49273
Zerg Rush,09-03-21,4536,38,49387
Zerg Rush,09-07-21,3708,34,49071
Zerg Rush,09-07-21,4194,37,49153
Zerg Rush,09-07-21,4914,38,49221
Zerg Rush,09-07-21,4194,37,49281
Zerg Rush,09-07-21,2880,29,49319
Zerg Rush,09-08-21,4644,38,48001
Letter Game,09-08-21,1310,64,48093
Letter Game,09-08-21,371,8,48131
Letter Game,09-08-21,1808,64,48201
Letter Game,09-08-21,1707,64,48298
Zerg Rush,09-08-21,3366,33,48723
Letter Game,09-08-21,1950,62,48925
Zerg Rush,09-08-21,4608,84,49021
Zerg Rush,09-08-21,4698,39,49342
Zerg Rush,09-09-21,4788,39,49115
Letter Game,09-09-21,1290,62,49261
Zerg Rush,09-09-21,5364,42,49393
Zerg Rush,09-09-21,5238,40,49468
Letter Game,09-09-21,1920,60,49877
Zerg Rush,09-09-21,4194,36,49922
Letter Game,09-09-21,348,1,49933
Letter Game,09-09-21,1694,60,49999
Zerg Rush,09-09-21,5526,42,50051
Zerg Rush,09-10-21,4878,39,49284
Zerg Rush,09-10-21,5022,40,49427
Zerg Rush,09-15-21,4428,38,48402
Zerg Rush,09-15-21,2610,29,48478
Zerg Rush,09-15-21,5022,40,48530
Zerg Rush,09-15-21,2826,30,48707
Zerg Rush,09-15-21,3672,34,48773
Zerg Rush,09-15-21,2268,27,48883
Zerg Rush,09-15-21,3798,35,48938
Zerg Rush,09-15-21,3456,34,48984
Zerg Rush,09-15-21,1368,19,49068
Zerg Rush,09-15-21,2646,28,49114
Zerg Rush,09-15-21,702,12,49132
Zerg Rush,09-15-21,2754,29,49177
Zerg Rush,09-15-21,4590,37,49242
Zerg Rush,09-15-21,3708,35,49296
Zerg Rush,09-16-21,5850,44,49371
Zerg Rush,09-16-21,4518,38,49429
