Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,99.3,57,0
Day 01 - Part 2 - Learn Home Row,100.0,67,0
Day 01 - Part 3,95.0,35,1
Day 01 - Part 4,98.7,65,0
Day 01 - Part 5,95.3,48,0
Day 01 - Part 6,97.3,43,0
Day 01 - Part 7,96.3,47,0
Day 01 - Part 8,98.1,61,0
Day 01 - Part 9,96.1,57,0
Day 01 - Part 3,100.0,53,0
Day 01 - Part 5,100.0,73,6
Day 01 - Part 9,100.0,87,0
Day 01 - Part 7,100.0,58,2
Day 01 - Part 6,100.0,59,8
Day 01 - Part 8,100.0,74,0
Day 01 - Part 4,100.0,66,1
Day 01 - Part 1 - Learn Spacebar,100.0,68,0
