Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,97.1,35,0
Day 01 - Part 4,99.7,81,0
Day 01 - Part 5,100.0,73,0
Day 02 - Part 1,94.8,48,0
Day 02 - Part 2 - Learn E,93.5,31,0
Day 02 - Part 3 - Learn H,98.7,54,0
Day 02 - Part 4,100.0,85,0
Day 02 - Part 5,98.3,76,0
Day 02 - Part 2 - Learn E,100.0,73,0
Day 02 - Part 1,100.0,76,0
Day 01 - Part 1 - Learn Spacebar,100.0,70,0
Day 02 - Part 5,99.8,67,17
Day 02 - Part 3 - Learn H,100.0,91,0
Day 01 - Part 4,100.0,73,0
Day 02 - Part 5,100.0,92,0
