Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,95.6,50,0
Day 01 - Part 2 - Learn Home Row,99.0,61,0
Day 02 - Part 4,97.5,76,0
Day 02 - Part 5,100.0,89,0
Day 03 - Part 1,98.5,98,0
Day 03 - Part 2 - Learn R,96.1,63,0
Day 03 - Part 3 - Learn O,99.3,78,0
Day 03 - Part 4,93.5,50,0
Day 03 - Part 5,94.5,53,0
Day 03 - Part 4,100.0,102,0
Day 03 - Part 5,99.0,84,1
Day 01 - Part 1 - Learn Spacebar,100.0,77,0
Day 03 - Part 2 - Learn R,100.0,96,0
Day 02 - Part 4,100.0,99,0
Day 03 - Part 1,100.0,103,0
Day 01 - Part 2 - Learn Home Row,99.0,64,0
Day 01 - Part 2 - Learn Home Row,98.4,53,1
Day 01 - Part 2 - Learn Home Row,99.0,58,0
Day 03 - Part 5,98.0,79,0
Day 03 - Part 3 - Learn O,100.0,99,0
Day 01 - Part 2 - Learn Home Row,97.4,55,0
Day 03 - Part 5,100.0,92,0
Day 01 - Part 2 - Learn Home Row,100.0,77,0
