Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 6,96.6,67,0
Day 04 - Part 7,100.0,91,0
Day 05 - Part 1,98.0,80,0
Day 05 - Part 2 - Learn T,98.7,78,0
Day 05 - Part 3 - Learn I,97.4,70,0
Day 05 - Part 4,96.7,66,0
Day 05 - Part 5,96.1,61,0
Day 05 - Part 6,94.1,51,0
Day 05 - Part 7,94.7,62,0
Day 05 - Part 6,100.0,102,0
Day 05 - Part 7,100.0,95,0
Day 05 - Part 5,100.0,102,0
Day 04 - Part 6,100.0,87,1
Day 05 - Part 4,100.0,79,0
Day 05 - Part 3 - Learn I,100.0,96,0
Day 05 - Part 1,96.7,52,0
Day 05 - Part 1,100.0,114,0
Day 05 - Part 2 - Learn T,100.0,90,0
Day 04 - Part 6,100.0,111,0
