Lesson,Accuracy,WPM,Idle Time

Day 07 - Part 1,97.4,59,0
Day 07 - Part 2 - Learn C,96.7,34,0
Day 07 - Part 3 - Learn U,98.7,48,0
Day 07 - Part 4,94.8,36,0
Day 07 - Part 5,95.4,39,0
Day 07 - Part 6,98.1,42,0
Day 07 - Part 7,100.0,91,0
Day 07 - Part 8,96.7,56,0
Day 07 - Part 4,100.0,65,0
Day 07 - Part 5,100.0,70,0
Day 07 - Part 2 - Learn C,100.0,59,0
Day 07 - Part 8,100.0,76,0
Day 07 - Part 7,98.7,73,0
Day 07 - Part 1,100.0,82,0
Day 07 - Part 6,98.2,58,2
Day 07 - Part 6,99.6,71,0
Day 07 - Part 3 - Learn U,100.0,87,0
Day 07 - Part 6,97.7,66,138
