Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,98.7,84,0
Day 09 - Part 2,95.4,51,0
Day 09 - Part 3,96.1,64,0
Day 09 - Part 4 - Learn W,98.7,60,0
Day 09 - Part 5 - Learn N,98.0,67,0
Day 09 - Part 6,95.4,60,0
Day 09 - Part 7,97.4,78,0
Day 09 - Part 8,99.3,84,0
Day 09 - Part 9,96.1,48,0
Day 09 - Part 2,100.0,87,1
Day 09 - Part 2,97.4,67,0
Day 09 - Part 6,100.0,102,0
Day 09 - Part 9,99.4,74,0
Day 09 - Part 3,100.0,97,0
Day 09 - Part 7,100.0,103,0
Day 09 - Part 5 - Learn N,99.3,88,0
Day 09 - Part 4 - Learn W,100.0,79,0
Day 09 - Part 1,100.0,108,0
Day 09 - Part 8,100.0,96,0
Day 09 - Part 5 - Learn N,100.0,87,0
Day 09 - Part 9,100.0,68,0
