Lesson,Accuracy,WPM,Idle Time

Day 12 - Part 6,98.7,84,0
Day 12 - Part 7,99.2,89,0
Day 13 - Part 1,96.1,49,0
Day 13 - Part 2 - Learn X,98.7,54,0
Day 13 - Part 3 - Learn M,98.0,62,0
Day 13 - Part 4,98.1,71,0
Day 13 - Part 5,95.5,36,0
Day 13 - Part 6,98.4,66,0
Day 13 - Part 5,100.0,53,0
Day 13 - Part 1,100.0,84,0
Day 13 - Part 3 - Learn M,100.0,73,0
Day 13 - Part 4,100.0,80,0
Day 13 - Part 6,98.1,75,2
Day 13 - Part 6,100.0,99,0
Day 13 - Part 2 - Learn X,99.3,76,6
Day 12 - Part 6,100.0,96,0
Day 12 - Part 7,100.0,114,0
Day 13 - Part 2 - Learn X,100.0,57,1
