Lesson,Accuracy,WPM,Idle Time

Day 13 - Part 4,99.4,54,0
Day 13 - Part 6,97.5,69,0
Day 14 - Part 1,98.1,42,0
Day 14 - Part 2,98.7,74,0
Day 14 - Part 3 - Learn Z,99.3,65,0
Day 14 - Part 4 - Learn Y,99.3,63,0
Day 14 - Part 5,95.4,44,0
Day 14 - Part 6,98.3,71,0
Day 14 - Part 5,96.7,59,0
Day 14 - Part 5,99.3,73,0
Day 13 - Part 6,100.0,93,1
Day 14 - Part 1,100.0,74,0
Day 14 - Part 6,99.6,79,2
Day 14 - Part 2,100.0,100,0
Day 14 - Part 4 - Learn Y,97.4,57,0
Day 14 - Part 4 - Learn Y,99.3,70,2
Day 14 - Part 3 - Learn Z,99.3,70,0
Day 14 - Part 3 - Learn Z,100.0,65,1
Day 14 - Part 4 - Learn Y,98.7,67,0
Day 14 - Part 4 - Learn Y,100.0,65,0
Day 14 - Part 5,98.7,42,1
Day 14 - Part 5,100.0,83,0
Day 13 - Part 4,100.0,80,0
Day 14 - Part 6,6.0,-955,1
