Lesson,Accuracy,WPM,Idle Time

Day 16 - Part 4,98.7,74,0
Day 16 - Part 5,98.5,76,0
Day 17 - Part 1,100.0,93,0
Day 17 - Part 2 - Learn V,97.4,73,0
Day 17 - Part 3 - Learn Colon,96.1,34,0
Day 17 - Part 4,95.2,51,0
Day 17 - Part 5,98.4,79,0
Day 17 - Part 4,100.0,88,0
Day 17 - Part 3 - Learn Colon,96.8,40,1
Day 17 - Part 3 - Learn Colon,100.0,51,0
Day 17 - Part 2 - Learn V,100.0,96,1
Day 17 - Part 5,99.4,93,1
Day 16 - Part 5,100.0,79,0
Day 16 - Part 4,99.0,87,0
Day 16 - Part 4,100.0,88,4
Day 17 - Part 5,99.8,77,2
