Lesson,Accuracy,WPM,Idle Time

Day 19 - Part 1,98.9,86,0
Day 19 - Part 2 - Learn Apostrophe,95.5,45,0
Day 19 - Part 3 - Learn Quotation,97.9,74,0
Day 19 - Part 4 - Learn Hyphen,98.3,63,0
Day 19 - Part 5,95.4,50,0
Day 19 - Part 6,97.5,45,0
Day 19 - Part 7,98.1,91,0
Day 19 - Part 9,99.2,93,0
Day 19 - Part 5,98.4,70,0
Day 19 - Part 2 - Learn Apostrophe,98.5,72,0
Day 19 - Part 6,97.5,46,0
Day 19 - Part 6,98.7,29,1
Day 19 - Part 3 - Learn Quotation,99.7,47,3
Day 19 - Part 7,100.0,77,0
Day 19 - Part 4 - Learn Hyphen,98.9,58,0
Day 19 - Part 5,97.6,68,6
Day 19 - Part 5,98.1,72,1
Day 19 - Part 5,99.5,78,0
Day 19 - Part 1,99.3,99,0
Day 19 - Part 2 - Learn Apostrophe,37.4,-445,0
