Lesson,Accuracy,WPM,Idle Time

Day 20 - Part 1,97.4,66,0
Day 20 - Part 2,98.7,81,0
Day 20 - Part 3,99.6,73,0
Day 20 - Part 4,100.0,82,0
Day 20 - Part 5,99.6,82,0
Day 20 - Part 6,98.2,74,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,98.8,90,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,97.6,78,0
Day 20 - Part 1,99.6,81,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,97.6,84,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.8,87,0
Day 20 - Part 6,100.0,59,0
Day 20 - Part 2,99.6,88,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,96.4,57,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.8,87,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.8,61,4
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.1,75,4
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.8,77,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,21.1,-937,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,20.3,-948,1
Day 20 - Part 1,100.0,83,0
Day 20 - Part 2,100.0,82,0
Day 20 - Part 3,99.1,80,0
Day 20 - Part 3,100.0,60,2
Day 20 - Part 5,100.0,93,1
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,94,1
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,96,0
