name,date,score,time,time_of_day

Letter Game,08-19-21,360,108,49050
Letter Game,08-19-21,390,1,49069
Letter Game,08-19-21,-230,102,49201
Letter Game,08-24-21,760,97,48905
Letter Game,08-24-21,390,1,48945
Letter Game,08-24-21,348,2,48989
Letter Game,08-24-21,613,60,49065
Letter Game,08-24-21,-2000,43,49156
Letter Game,08-24-21,979,70,49282
Letter Game,08-24-21,530,87,49385
Letter Game,08-25-21,210,95,48407
Letter Game,08-25-21,925,90,48603
Letter Game,08-25-21,512,43,48725
Letter Game,08-25-21,333,1,48737
Letter Game,08-25-21,333,1,48763
Letter Game,08-25-21,-2490,64,48910
Letter Game,08-25-21,448,7,49027
Letter Game,08-25-21,-498,91,49157
Letter Game,08-25-21,-25,87,49295
Letter Game,08-25-21,281,4,49323
Letter Game,08-25-21,210,76,49404
Letter Game,08-26-21,580,105,49015
Letter Game,08-26-21,800,113,49197
Letter Game,08-26-21,910,93,49324
Letter Game,08-26-21,496,54,49397
Letter Game,08-27-21,1140,82,49135
Letter Game,08-27-21,363,1,49368
Letter Game,08-27-21,495,28,49399
Letter Game,08-30-21,-935,56,49393
Letter Game,08-31-21,358,53,48941
Letter Game,08-31-21,1050,86,49050
Letter Game,08-31-21,750,96,49161
Letter Game,08-31-21,160,109,49295
Letter Game,08-31-21,465,59,49364
Letter Game,09-01-21,1411,90,49227
Letter Game,09-01-21,1370,85,49336
Letter Game,09-01-21,611,30,49384
Zerg Rush,09-02-21,94,43,48814
Zerg Rush,09-02-21,378,20,48859
Zerg Rush,09-02-21,40,30,48903
Zerg Rush,09-02-21,288,20,48992
Zerg Rush,09-02-21,324,20,49016
Zerg Rush,09-02-21,112,31,49081
Zerg Rush,09-02-21,48,31,49140
Zerg Rush,09-02-21,76,39,49201
Zerg Rush,09-02-21,0,0,49219
Zerg Rush,09-02-21,120,27,49294
Zerg Rush,09-02-21,144,28,49332
Zerg Rush,09-03-21,42,26,48960
Zerg Rush,09-03-21,50,29,49041
Zerg Rush,09-03-21,94,45,49102
Zerg Rush,09-03-21,468,20,49148
Zerg Rush,09-03-21,136,33,49236
Zerg Rush,09-03-21,180,34,49332
Zerg Rush,09-03-21,140,24,49372
Zerg Rush,09-07-21,138,54,49170
Zerg Rush,09-07-21,252,20,49206
Zerg Rush,09-07-21,378,20,49238
Zerg Rush,09-07-21,576,20,49281
Zerg Rush,09-07-21,88,24,49330
Zerg Rush,09-07-21,0,4,49377
Zerg Rush,09-08-21,100,30,48817
Zerg Rush,09-08-21,162,17,48847
Zerg Rush,09-08-21,90,19,48875
Zerg Rush,09-08-21,24,26,48918
Zerg Rush,09-08-21,104,47,48974
