Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 6,94.1,14,0
Day 04 - Part 7,100.0,21,0
Day 05 - Part 1,92.1,12,0
Day 05 - Part 2 - Learn T,87.3,3,0
Day 05 - Part 3 - Learn I,94.1,13,0
Day 05 - Part 4,88.2,5,0
Day 05 - Part 5,91.5,9,0
Day 05 - Part 6,90.2,7,0
Day 05 - Part 7,92.1,12,0
Day 05 - Part 2 - Learn T,94.0,15,0
Day 05 - Part 4,88.8,5,0
Day 05 - Part 4,90.1,6,0
Day 05 - Part 4,93.4,10,0
Day 05 - Part 6,95.4,14,1
Day 05 - Part 5,84.3,1,1
Day 05 - Part 5,92.2,10,0
Day 05 - Part 1,94.7,16,0
Day 05 - Part 7,91.4,12,1
