Lesson,Accuracy,WPM,Idle Time

Day 14 - Part 5,88.9,4,0
Day 14 - Part 6,94.0,12,0
Day 15 - Part 1,89.7,6,0
Day 15 - Part 2 - Learn Q,93.0,8,0
Day 15 - Part 3 - Learn Comma,88.9,5,0
Day 15 - Part 4,87.7,3,0
Day 15 - Part 5,89.0,5,0
Day 15 - Part 6,96.4,17,1
Day 15 - Part 4,92.3,9,0
Day 14 - Part 5,89.5,6,0
Day 15 - Part 3 - Learn Comma,88.9,5,0
Day 15 - Part 3 - Learn Comma,85.0,1,0
Day 15 - Part 1,92.3,10,0
Day 15 - Part 3 - Learn Comma,89.5,7,0
Day 15 - Part 5,92.9,10,0
Day 14 - Part 5,90.2,8,0
