Date,Lesson,Accuracy,WPM,Idle Time

08/19/21,Home Row Intro,93.0,12.0,277
08/24/21,Spacebar and Home Row,90.0,9.0,34
08/25/21,Letters E and H,93.0,13.0,14
08/26/21,Letters O and R,94.0,15.0,12
08/27/21,Review-L04,95.0,16.0,4
08/30/21,Letters I and T,94.0,14.0,9
08/31/21,Left Shift and Period,92.0,12.0,0
09/01/21,Letters U and C,93.0,8.0,8
09/02/21,Review-L08,94.0,11.0,34
09/03/21,Letters N and W,92.0,12.0,32
09/07/21,Letter G and Right Shift,94.0,14.0,16
09/08/21,Letters B and P,95.0,15.0,3
09/13/21,Letters M and X,91.0,11.0,4
09/14/21,Letters Y and Z,90.0,8.0,1
09/15/21,Letter Q and Comma,93.0,10.0,2
09/16/21,Letter V and Colon,94.0,13.0,12
09/17/21,Caps Lock and Question Mark,90.0,7.0,3
09/20/21,Quotations & Apsotrophe & Hyphen,94.0,11.0,10
09/21/21,Review-L12,96.0,22.0,2
09/22/21,Review-L16,94.0,16.0,10
09/22/21,Evaluate Speed-01,91.0,13.0,1
