name,date,score,time,time_of_day

Letter Game,08-19-21,810,116,49062
Letter Game,08-19-21,263,3,49082
Letter Game,08-19-21,257,7,49100
Letter Game,08-19-21,480,127,49239
Letter Game,08-24-21,700,124,49238
Letter Game,08-24-21,287,1,49262
Letter Game,08-24-21,840,115,49385
Letter Game,08-25-21,1100,101,49258
Letter Game,08-25-21,1035,103,49412
Zerg Rush,09-02-21,22,27,48969
Zerg Rush,09-02-21,144,20,48997
Zerg Rush,09-02-21,18,25,49039
Zerg Rush,09-02-21,6,23,49077
Zerg Rush,09-02-21,32,29,49137
Zerg Rush,09-02-21,32,27,49176
Zerg Rush,09-02-21,46,29,49210
Zerg Rush,09-02-21,40,31,49253
Zerg Rush,09-02-21,46,32,49296
Zerg Rush,09-02-21,72,20,49329
Zerg Rush,09-02-21,306,20,49364
Zerg Rush,09-03-21,10,23,49020
Zerg Rush,09-03-21,38,31,49094
Zerg Rush,09-03-21,34,27,49128
Zerg Rush,09-03-21,30,27,49160
Zerg Rush,09-03-21,32,29,49196
Zerg Rush,09-03-21,162,20,49219
Zerg Rush,09-03-21,32,29,49262
Zerg Rush,09-03-21,36,27,49325
Zerg Rush,09-03-21,24,23,49365
Zerg Rush,09-07-21,54,33,49372
Zerg Rush,09-10-21,22,25,49202
Letter Game,09-10-21,337,26,49243
Letter Game,09-10-21,880,109,49383
Zerg Rush,09-13-21,30,29,48899
Zerg Rush,09-13-21,216,20,48926
Zerg Rush,09-13-21,234,20,48952
Zerg Rush,09-13-21,66,35,48995
Zerg Rush,09-13-21,44,29,49033
Zerg Rush,09-13-21,38,25,49072
Zerg Rush,09-13-21,22,25,49109
Zerg Rush,09-13-21,52,29,49144
Zerg Rush,09-13-21,24,25,49189
Zerg Rush,09-13-21,20,27,49229
Zerg Rush,09-13-21,52,33,49272
Zerg Rush,09-13-21,34,29,49333
Zerg Rush,09-13-21,22,25,49372
Zerg Rush,09-13-21,0,20,49399
Zerg Rush,09-15-21,32,23,48806
Zerg Rush,09-15-21,18,25,48845
Zerg Rush,09-15-21,0,21,48870
Zerg Rush,09-15-21,0,20,48894
Zerg Rush,09-15-21,8,23,48934
Zerg Rush,09-15-21,14,25,48962
Zerg Rush,09-15-21,54,33,49001
Letter Game,09-15-21,399,69,49146
Letter Game,09-15-21,160,82,49252
Letter Game,09-15-21,124,9,49264
Letter Game,09-15-21,1870,9,49289
Zerg Rush,09-15-21,50,33,49369
Zerg Rush,09-15-21,12,23,49417
Zerg Rush,09-15-21,6,12,49447
Zerg Rush,09-15-21,0,0,49449
Letter Game,09-16-21,1630,12,49285
Letter Game,09-16-21,268,1,49295
Letter Game,09-16-21,2010,7,49343
Zerg Rush,09-16-21,38,29,49431
Zerg Rush,09-17-21,48,31,49081
Zerg Rush,09-17-21,50,33,49118
Zerg Rush,09-17-21,24,28,49192
Zerg Rush,09-17-21,234,20,49246
Zerg Rush,09-17-21,252,20,49275
Zerg Rush,09-17-21,64,26,49373
Zerg Rush,09-17-21,16,10,49399
Zerg Rush,09-20-21,38,26,49125
Zerg Rush,09-20-21,32,26,49169
Zerg Rush,09-20-21,14,24,49212
Zerg Rush,09-20-21,36,29,49281
Zerg Rush,09-20-21,66,35,49338
Zerg Rush,09-20-21,24,23,49368
Zerg Rush,09-21-21,30,29,49241
Zerg Rush,09-21-21,40,29,49278
Zerg Rush,09-21-21,28,25,49309
Zerg Rush,09-21-21,66,37,49351
Zerg Rush,09-21-21,14,25,49385
Zerg Rush,09-22-21,86,45,48855
Zerg Rush,09-22-21,44,31,48904
Zerg Rush,09-22-21,140,33,48995
Zerg Rush,09-22-21,96,30,49047
Zerg Rush,09-22-21,80,27,49128
Zerg Rush,09-22-21,28,21,49183
Zerg Rush,09-22-21,378,21,49209
Zerg Rush,09-22-21,62,35,49256
Zerg Rush,09-22-21,54,31,49305
Zerg Rush,09-22-21,44,31,49347
Zerg Rush,09-22-21,66,37,49398
Zerg Rush,09-22-21,22,19,49422
