Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,92.6,12,0
Day 01 - Part 2 - Learn Home Row,97.7,22,0
Day 01 - Part 3,94.8,17,5
Day 01 - Part 4,93.3,15,0
Day 01 - Part 5,86.4,3,0
Day 01 - Part 6,96.5,20,0
Day 01 - Part 7,89.6,7,0
Day 01 - Part 8,95.0,22,0
Day 01 - Part 9,95.1,16,0
Day 01 - Part 5,94.2,11,0
Day 01 - Part 7,94.9,16,0
Day 01 - Part 1 - Learn Spacebar,93.4,15,0
Day 01 - Part 4,94.5,14,2
Day 01 - Part 1 - Learn Spacebar,100.0,28,0
Day 01 - Part 5,93.3,10,0
Day 01 - Part 5,97.9,16,0
Day 01 - Part 4,97.4,19,0
Day 01 - Part 3,94.0,16,0
