Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,96.3,21,0
Day 01 - Part 4,97.3,21,0
Day 01 - Part 5,100.0,20,2
Day 02 - Part 1,95.4,14,0
Day 02 - Part 2 - Learn E,95.4,15,1
Day 02 - Part 3 - Learn H,94.8,14,0
Day 02 - Part 4,94.8,10,1
Day 02 - Part 5,94.5,12,2
Day 02 - Part 5,95.0,14,0
Day 02 - Part 4,97.9,12,0
Day 02 - Part 3 - Learn H,100.0,20,0
Day 02 - Part 5,98.0,17,0
Day 02 - Part 1,97.4,15,0
Day 02 - Part 2 - Learn E,96.7,17,1
Day 01 - Part 1 - Learn Spacebar,100.0,25,0
Day 02 - Part 2 - Learn E,94.8,17,0
Day 02 - Part 2 - Learn E,95.4,15,2
Day 02 - Part 2 - Learn E,96.1,18,0
Day 02 - Part 2 - Learn E,96.1,18,0
Day 02 - Part 2 - Learn E,93.5,16,6
