Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 6,100.0,18,0
Day 04 - Part 7,100.0,15,0
Day 05 - Part 1,98.0,18,0
Day 05 - Part 2 - Learn T,98.7,22,0
Day 05 - Part 3 - Learn I,97.4,16,0
Day 05 - Part 4,99.3,16,0
Day 05 - Part 5,94.8,11,0
Day 05 - Part 6,92.8,10,0
Day 05 - Part 7,100.0,18,5
Day 05 - Part 6,98.7,13,1
Day 05 - Part 5,98.7,14,3
Day 05 - Part 3 - Learn I,100.0,19,0
Day 05 - Part 1,100.0,18,0
Day 05 - Part 6,94.8,10,5
Day 05 - Part 2 - Learn T,97.3,17,1
Day 05 - Part 6,100.0,14,1
Day 05 - Part 5,100.0,17,0
Day 05 - Part 2 - Learn T,100.0,24,0
Day 05 - Part 4,98.0,17,0
