Lesson,Accuracy,WPM,Idle Time

Scripture - 1 Min - Novice - John 3 v 16,100.0,12,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100.0,15,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,97.5,13,0
Scripture - 3 Min - Novice - Psalm 23,96.0,13,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,93.8,10,0
Scripture - 5 Min - Novice - Psalm 51,100.0,13,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,98.4,11,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,93.7,10,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,100.0,14,2
Scripture - 3 Min - Novice - Eph 2 v 4-10,89.9,6,0
