Date,Lesson,Accuracy,WPM,Idle Time

08/19/21,Home Row Intro,96.0,16.0,194
08/24/21,Spacebar and Home Row,97.0,20.0,7
08/25/21,Letters E and H,98.0,18.0,23
08/26/21,Letters O and R,98.0,18.0,20
08/27/21,Review-L04,97.0,15.0,11
08/30/21,Letters I and T,100.0,18.0,16
08/31/21,Left Shift and Period,98.0,12.0,12
09/01/21,Letters U and C,97.0,11.0,9
09/02/21,Review-L08,98.0,12.0,6
09/03/21,Letters N and W,98.0,13.0,5
09/07/21,Letter G and Right Shift,100.0,11.0,4
09/08/21,Letters B and P,98.0,13.0,16
09/09/21,Review-L12,98.0,14.0,4
09/10/21,Letters M and X,98.0,13.0,1
09/13/21,Letters Y and Z,98.0,12.0,5
09/14/21,Letter Q and Comma,98.0,11.0,6
09/15/21,Review-L16,100.0,11.0,2
09/16/21,Letter V and Colon,98.0,13.0,3
09/17/21,Caps Lock and Question Mark,96.0,9.0,3
09/20/21,Quotations & Apsotrophe & Hyphen,97.0,10.0,2
09/21/21,Evaluate Speed-01,98.0,13.0,2
09/22/21,Review 1-01,98.0,12.0,2
