name,date,score,time,time_of_day

Letter Game,08-19-21,880,96,49110
Letter Game,08-19-21,259,6,49156
Letter Game,08-19-21,960,90,49252
Letter Game,08-24-21,840,94,49257
Letter Game,08-24-21,263,4,49294
Letter Game,08-24-21,880,88,49402
Letter Game,08-31-21,740,97,49374
Letter Game,09-01-21,1040,91,49304
Letter Game,09-01-21,263,3,49322
Letter Game,09-01-21,694,64,49399
Letter Game,09-07-21,930,97,49327
Letter Game,09-07-21,910,81,49418
Zerg Rush,09-10-21,76,39,49374
Zerg Rush,09-10-21,114,46,49425
Zerg Rush,09-13-21,168,60,48940
Zerg Rush,09-13-21,288,84,49034
Zerg Rush,09-13-21,72,39,49088
Zerg Rush,09-13-21,142,49,49144
Zerg Rush,09-13-21,150,53,49210
Zerg Rush,09-13-21,254,75,49295
Zerg Rush,09-13-21,132,52,49356
Zerg Rush,09-13-21,46,29,49390
Zerg Rush,09-13-21,0,4,49398
Zerg Rush,09-14-21,130,52,48962
Zerg Rush,09-14-21,126,41,49007
Zerg Rush,09-14-21,158,60,49071
Zerg Rush,09-14-21,48,27,49109
Zerg Rush,09-14-21,542,137,49257
Zerg Rush,09-14-21,34,27,49299
Zerg Rush,09-14-21,518,122,49425
Zerg Rush,09-15-21,274,82,48917
Zerg Rush,09-15-21,194,63,48987
Zerg Rush,09-15-21,320,91,49081
Zerg Rush,09-15-21,120,47,49144
Zerg Rush,09-15-21,370,98,49269
Zerg Rush,09-15-21,648,156,49429
Zerg Rush,09-15-21,34,13,49447
Zerg Rush,09-16-21,358,99,49032
Zerg Rush,09-16-21,74,37,49126
Zerg Rush,09-16-21,728,165,49320
Zerg Rush,09-16-21,140,49,49381
Zerg Rush,09-16-21,204,51,49436
Zerg Rush,09-17-21,552,136,49234
Zerg Rush,09-17-21,596,137,49399
Zerg Rush,09-20-21,94,45,49162
Zerg Rush,09-20-21,88,43,49211
Zerg Rush,09-20-21,206,62,49277
Zerg Rush,09-20-21,468,118,49398
Zerg Rush,09-20-21,0,1,49402
Zerg Rush,09-21-21,784,170,49149
Zerg Rush,09-21-21,904,189,49342
Zerg Rush,09-21-21,186,43,49388
Zerg Rush,09-22-21,856,181,48932
Zerg Rush,09-22-21,222,69,49051
Zerg Rush,09-22-21,1094,211,49265
Zerg Rush,09-22-21,136,54,49360
Zerg Rush,09-22-21,30,13,49422
