Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,94.9,20,1
Day 01 - Part 2 - Learn Home Row,95.5,28,0
Day 01 - Part 3,89.9,14,0
Day 01 - Part 4,94.1,26,0
Day 01 - Part 5,87.4,8,0
Day 01 - Part 6,92.7,18,0
Day 01 - Part 7,91.3,16,0
Day 01 - Part 8,89.4,13,0
Day 01 - Part 9,96.6,32,0
Day 01 - Part 5,90.9,16,0
Day 01 - Part 8,99.4,39,0
Day 01 - Part 3,91.6,16,0
Day 01 - Part 5,94.0,21,3
Day 01 - Part 7,95.7,24,0
Day 01 - Part 3,94.9,24,0
Day 01 - Part 6,88.3,10,0
Day 01 - Part 6,94.7,24,0
Day 01 - Part 5,38.4,-294,0
Day 01 - Part 5,93.4,21,0
Day 01 - Part 5,92.1,18,3
Day 01 - Part 5,97.2,32,1
