Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,100.0,31,1
Day 01 - Part 2 - Learn Home Row,97.4,35,0
Day 02 - Part 4,96.8,32,0
Day 02 - Part 5,100.0,40,0
Day 03 - Part 1,96.5,34,0
Day 03 - Part 2 - Learn R,94.8,21,0
Day 03 - Part 3 - Learn O,98.0,33,0
Day 03 - Part 4,94.1,25,0
Day 03 - Part 5,93.5,22,0
Day 03 - Part 5,92.4,19,1
Day 03 - Part 5,93.8,25,0
Day 03 - Part 5,94.3,26,0
Day 03 - Part 4,98.0,38,0
Day 03 - Part 5,96.6,32,0
Day 03 - Part 2 - Learn R,100.0,41,0
Day 03 - Part 1,92.0,22,0
Day 03 - Part 1,99.5,44,0
Day 03 - Part 5,94.6,29,0
Day 03 - Part 5,96.0,33,0
Day 03 - Part 5,96.3,35,0
