Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 1,98.0,28,0
Day 04 - Part 2,97.2,31,0
Day 04 - Part 3,96.6,30,0
Day 04 - Part 4,97.1,37,0
Day 04 - Part 5,94.6,31,0
Day 04 - Part 6,95.1,34,0
Day 04 - Part 7,97.3,39,0
Day 04 - Part 5,99.5,52,0
Day 04 - Part 6,97.5,43,0
Day 04 - Part 3,96.6,31,1
Day 04 - Part 3,100.0,41,0
Day 04 - Part 4,98.5,44,0
Day 04 - Part 2,96.6,35,0
Day 04 - Part 2,97.6,37,0
Day 04 - Part 7,98.0,43,0
Day 04 - Part 6,99.0,49,0
Day 04 - Part 5,97.5,42,0
Day 04 - Part 2,98.9,45,0
Day 04 - Part 1,98.5,46,0
Day 04 - Part 7,98.5,49,0
Day 04 - Part 4,96.1,40,0
Day 04 - Part 4,99.0,52,0
Day 04 - Part 1,98.0,45,5
Day 04 - Part 1,99.0,47,6
Day 04 - Part 7,95.6,40,0
