Lesson,Accuracy,WPM,Idle Time

Day 05 - Part 4,92.8,27,0
Day 05 - Part 5,97.4,41,0
Day 05 - Part 6,100.0,54,0
Day 06 - Part 1,95.4,31,0
Day 06 - Part 2 - Learn Left Shift,94.0,20,0
Day 06 - Part 3 - Learn Period,90.8,12,0
Day 06 - Part 4,92.9,18,0
Day 06 - Part 5,93.9,29,0
Day 06 - Part 3 - Learn Period,96.1,25,1
Day 05 - Part 4,97.4,46,0
Day 06 - Part 4,91.2,17,0
Day 06 - Part 4,94.6,23,0
Day 06 - Part 5,96.3,34,0
Day 06 - Part 2 - Learn Left Shift,96.7,30,2
Day 06 - Part 4,98.0,36,0
Day 06 - Part 1,95.4,34,0
Day 06 - Part 1,97.4,38,0
Day 06 - Part 3 - Learn Period,97.4,23,4
Day 06 - Part 5,95.9,34,0
Day 06 - Part 5,95.7,36,0
Day 06 - Part 5,98.0,42,1
