Lesson,Accuracy,WPM,Idle Time

Day 07 - Part 1,95.4,25,0
Day 07 - Part 2 - Learn C,92.8,19,0
Day 07 - Part 3 - Learn U,94.1,24,0
Day 07 - Part 4,94.8,22,0
Day 07 - Part 5,96.1,23,0
Day 07 - Part 6,89.8,10,3
Day 07 - Part 7,100.0,45,0
Day 07 - Part 8,93.5,16,0
Day 07 - Part 6,96.3,23,0
Day 07 - Part 2 - Learn C,98.0,31,0
Day 07 - Part 8,96.7,26,0
Day 07 - Part 3 - Learn U,100.0,36,0
Day 07 - Part 4,96.1,26,0
Day 07 - Part 1,98.7,40,0
Day 07 - Part 5,94.8,22,0
Day 07 - Part 5,94.8,23,0
Day 07 - Part 5,95.4,23,0
Day 07 - Part 5,92.8,14,3
Day 07 - Part 5,97.4,27,0
Day 07 - Part 4,98.0,33,0
Day 07 - Part 6,94.5,21,0
Day 07 - Part 1,97.4,35,0
Day 07 - Part 4,97.4,33,0
Day 07 - Part 6,93.6,24,0
Day 07 - Part 6,94.5,24,0
