Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,99.3,47,0
Day 09 - Part 2,94.1,22,0
Day 09 - Part 3,97.4,41,0
Day 09 - Part 4 - Learn W,97.4,35,0
Day 09 - Part 5 - Learn N,94.1,29,0
Day 09 - Part 6,94.1,24,1
Day 09 - Part 7,98.7,45,0
Day 09 - Part 8,98.0,38,0
Day 09 - Part 9,95.5,24,1
Day 09 - Part 2,100.0,36,0
Day 09 - Part 6,98.0,36,0
Day 09 - Part 5 - Learn N,93.5,30,0
Day 09 - Part 5 - Learn N,92.8,28,0
Day 09 - Part 5 - Learn N,96.1,40,0
Day 09 - Part 9,96.1,30,0
Day 09 - Part 9,97.4,33,0
Day 09 - Part 5 - Learn N,100.0,52,0
Day 09 - Part 9,96.8,35,0
Day 09 - Part 9,100.0,36,0
Day 09 - Part 4 - Learn W,100.0,41,0
Day 09 - Part 3,98.1,51,0
Day 09 - Part 3,97.4,50,0
Day 09 - Part 6,100.0,47,0
Day 09 - Part 8,97.4,38,0
Day 09 - Part 8,94.8,35,0
