Lesson,Accuracy,WPM,Idle Time

Day 10 - Part 4,95.5,26,0
Day 10 - Part 4,94.8,26,0
Day 10 - Part 5,100.0,42,0
Day 11 - Part 1,94.8,27,0
Day 11 - Part 2 - Learn B,93.5,19,0
Day 11 - Part 3 - Learn P,96.1,28,0
Day 11 - Part 4,96.1,25,0
Day 11 - Part 5,96.0,25,0
Day 11 - Part 2 - Learn B,95.4,26,0
Day 10 - Part 4,96.8,34,0
Day 11 - Part 1,97.4,36,0
Day 11 - Part 2 - Learn B,91.5,17,0
Day 11 - Part 2 - Learn B,94.8,22,0
Day 11 - Part 2 - Learn B,100.0,34,0
Day 11 - Part 5,94.9,23,0
Day 11 - Part 5,94.9,25,0
Day 10 - Part 4,95.5,30,0
Day 11 - Part 1,96.8,37,0
Day 11 - Part 3 - Learn P,100.0,36,0
Day 11 - Part 4,96.8,30,0
Day 11 - Part 1,98.1,41,0
Day 11 - Part 1,96.1,34,1
Day 10 - Part 4,98.7,36,0
Day 11 - Part 5,37.6,-198,1
Day 10 - Part 4,98.7,40,0
Day 11 - Part 5,95.1,23,0
Day 11 - Part 1,97.4,34,0
Day 10 - Part 4,96.1,31,0
Day 11 - Part 1,95.5,33,0
